PAIR	R1	R2	WORDCLASS
ἱμάσθλη/ἀπήνη	same_domain	same_domain	n
ἱμάσθλη/ἡνιοχεύς	same_domain	same_domain	n
ἱμάσθλη/δίφρος	same_domain	same_domain	n
ἱμάσθλη/ἐγχείη	related	related	n
ἱμάσθλη/στροφάλιγξ	same_domain	same_domain	n
ἱμάσθλη/αἰγίς	same_domain	distantly_related	n
ἱμάσθλη/παλμός	same_domain	same_domain	n
ἱμάσθλη/ῥιπή	same_domain	same_domain	n
ἱμάσθλη/κύπελλον	unrelated	same_domain	n
ἱμάσθλη/μενοινή	unrelated	unrelated	n
ἱμάσθλη/ἄορ	related	related	n
ἱμάσθλη/δάπεδον	unrelated	distantly_related	n
ἱμάσθλη/τρίαινα	related	related	n
ἱμάσθλη/δόρυ	related	related	n
ἱμάσθλη/ὀχεύς	related	distantly_related	n
ἱμάσθλη/ἐρετμός	same_domain	distantly_related	n
ἱμάσθλη/ἔγχος	related	related	n
ἱμάσθλη/βέλεμνον	related	related	n
δοκέω/νομίζω	synonym	synonym	v
δοκέω/οἴομαι	synonym	synonym	v
δοκέω/ἡγέομαι	synonym	synonym	v
δοκέω/βούλομαι	related	related	v
δοκέω/δεῖ	related	distantly_related	v
δοκέω/ἐπιχειρέω	unrelated	unrelated	v
δοκέω/φάσκω	related	unrelated	v
δοκέω/χρή	related	distantly_related	v
δοκέω/ἀξιόω	synonym	related	v
δοκέω/πειράω	same_domain	same_domain	v
δοκέω/δύναμαι	distantly_related	unrelated	v
δοκέω/φημί	distantly_related	same_domain	v
δοκέω/δέω	related	distantly_related	v
δοκέω/μέλλω	related	related	v
δοκέω/ἐθέλω	related	related	v
δοκέω/κελεύω	distantly_related	same_domain	v
δοκέω/οἶδα	related	distantly_related	v
συμβαίνω/εἰμί	unrelated	related	v
συμβαίνω/ὑπόκειμαι	distantly_related	related	v
συμβαίνω/θεωρέω	unrelated	unrelated	v
συμβαίνω/ἐνδέχομαι	related	distantly_related	v
συμβαίνω/ὁρίζω	distantly_related	unrelated	v
συμβαίνω/ὑπάρχω	same_domain	related	v
συμβαίνω/κατηγορέω	same_domain	unrelated	v
συμβαίνω/λέγω	unrelated	unrelated	v
συμβαίνω/δείκνυμι	unrelated	unrelated	v
συμβαίνω/διαφέρω	unrelated	same_domain	v
συμβαίνω/συμπίτνω	synonym	related	v
συμβαίνω/ἕπομαι	unrelated	distantly_related	v
συμβαίνω/σημαίνω	unrelated	unrelated	v
συμβαίνω/πάσχω	unrelated	related	v
συμβαίνω/δύναμαι	same_domain	unrelated	v
συμβαίνω/προερέω	same_domain	unrelated	v
συμβαίνω/ἀντίκειμαι	related	distantly_related	v
συμβαίνω/μέλλω	unrelated	unrelated	v
συμβαίνω/δέω	same_domain	unrelated	v
συμβαίνω/χρή	same_domain	unrelated	v
συμβαίνω/προσήκω	related	distantly_related	v
συμβαίνω/φύω	distantly_related	unrelated	v
συμβαίνω/δοκέω	unrelated	unrelated	v
καλέω/ὀνομάζω	synonym	synonym	v
καλέω/προσαγορεύω	synonym	synonym	v
καλέω/οἰκέω	same_domain	unrelated	v
καλέω/κεῖμαι	unrelated	unrelated	v
καλέω/φημί	distantly_related	related	v
καλέω/χράομαι	unrelated	unrelated	v
καλέω/φέρω	unrelated	unrelated	v
καλέω/ἄγω	unrelated	unrelated	v
καλέω/ἄρχω	unrelated	unrelated	v
καλέω/ἔρχομαι	unrelated	unrelated	v
καλέω/τίθημι	unrelated	unrelated	v
καλέω/διαφέρω	unrelated	unrelated	v
καλέω/συνίστημι	same_domain	unrelated	v
καλέω/εἰμί	distantly_related	unrelated	v
καλέω/προερέω	distantly_related	distantly_related	v
καλέω/περιέχω	unrelated	unrelated	v
καλέω/ἐπικαλέω	synonym	related	v
καλέω/ἐπονομάζω	synonym	distantly_related	v
καλέω/παράκειμαι	unrelated	unrelated	v
καλέω/ἔχω	unrelated	unrelated	v
καλέω/σημαίνω	unrelated	distantly_related	v
καλέω/παραλαμβάνω	related	unrelated	v
φημί/λέγω	synonym	synonym	v
φημί/οἴομαι	related	same_domain	v
φημί/ἔοικα	same_domain	unrelated	v
φημί/καλέω	distantly_related	related	v
φημί/φάσκω	synonym	synonym	v
φημί/δοκέω	distantly_related	same_domain	v
φημί/ἀκούω	related	same_domain	v
φημί/διδάσκω	related	related	v
φημί/ὀνομάζω	distantly_related	related	v
φημί/ἐρωτάω	related	distantly_related	v
φημί/οἶδα	related	unrelated	v
φημί/νομίζω	related	same_domain	v
φημί/χρή	unrelated	unrelated	v
φημί/κελεύω	related	related	v
φημί/δέω	unrelated	unrelated	v
φημί/δύναμαι	unrelated	unrelated	v
φημί/ἀξιόω	related	same_domain	v
φημί/πειράω	unrelated	same_domain	v
φημί/θέλω	unrelated	same_domain	v
φημί/βούλομαι	unrelated	same_domain	v
φημί/μέλλω	unrelated	same_domain	v
φημί/ἐθέλω	unrelated	same_domain	v
ὁράω/βλέπω	synonym	synonym	v
ὁράω/φαίνω	same_domain	same_domain	v
ὁράω/θεάομαι	synonym	synonym	v
ὁράω/ἀκούω	related	distantly_related	v
ὁράω/ἵστημι	unrelated	unrelated	v
ὁράω/ἔρχομαι	unrelated	unrelated	v
ὁράω/ἔοικα	same_domain	same_domain	v
ὁράω/φεύγω	unrelated	unrelated	v
ὁράω/ἀνίστημι	unrelated	unrelated	v
ὁράω/φοβέω	same_domain	unrelated	v
ὁράω/θαυμάζω	related	unrelated	v
ὁράω/κάθημαι	unrelated	unrelated	v
ὁράω/ἐφίστημι	unrelated	unrelated	v
ὁράω/θεωρέω	synonym	related	v
ὁράω/γιγνώσκω	related	distantly_related	v
ὁράω/αἰσθάνομαι	synonym	synonym	v
ὁράω/οἶδα	same_domain	distantly_related	v
ὁράω/δοκέω	same_domain	unrelated	v
ὁράω/νομίζω	same_domain	unrelated	v
ὁράω/φημί	unrelated	unrelated	v
ὁράω/δύναμαι	unrelated	unrelated	v
ὁράω/οἴομαι	same_domain	same_domain	v
ὁράω/θεάω	synonym	synonym	v
ὁράω/εὑρίσκω	same_domain	related	v
ὁράω/μανθάνω	related	related	v
μένω/ἵστημι	distantly_related	distantly_related	v
μένω/φυλάσσω	distantly_related	distantly_related	v
μένω/ἐάω	distantly_related	distantly_related	v
μένω/διαμένω	synonym	synonym	v
μένω/φέρω	unrelated	unrelated	v
μένω/ἐθέλω	unrelated	unrelated	v
μένω/μέλλω	unrelated	unrelated	v
μένω/δύναμαι	unrelated	unrelated	v
μένω/κατέχω	distantly_related	distantly_related	v
μένω/κεῖμαι	distantly_related	related	v
μένω/εἶμι	unrelated	distantly_related	v
μένω/χωρέω	unrelated	distantly_related	v
μένω/ἔρχομαι	unrelated	distantly_related	v
μένω/δέχομαι	unrelated	unrelated	v
μένω/ὑπομένω	synonym	synonym	v
μένω/συνίστημι	unrelated	distantly_related	v
μένω/διαφθείρω	unrelated	unrelated	v
μένω/ἥκω	unrelated	distantly_related	v
μένω/καθίστημι	distantly_related	distantly_related	v
μένω/μεταβάλλω	related	unrelated	v
μένω/καταλαμβάνω	unrelated	unrelated	v
ἵστημι/βάλλω	distantly_related	unrelated	v
ἵστημι/κάθημαι	related	same_domain	v
ἵστημι/πίπτω	distantly_related	same_domain	v
ἵστημι/βαίνω	unrelated	same_domain	v
ἵστημι/κεῖμαι	related	same_domain	v
ἵστημι/εἶμι	unrelated	unrelated	v
ἵστημι/ἔρχομαι	unrelated	same_domain	v
ἵστημι/ὁράω	unrelated	unrelated	v
ἵστημι/τίθημι	synonym	related	v
ἵστημι/φέρω	unrelated	unrelated	v
ἵστημι/ἐφίστημι	synonym	synonym	v
ἵστημι/ἄγω	unrelated	unrelated	v
ἵστημι/μένω	distantly_related	distantly_related	v
ἵστημι/ἀνίστημι	synonym	synonym	v
πάρειμι/μέλλω	related	same_domain	v
πάρειμι/παρέχω	synonym	unrelated	v
πάρειμι/κελεύω	same_domain	same_domain	v
πάρειμι/βούλομαι	same_domain	unrelated	v
πάρειμι/παρακαλέω	distantly_related	same_domain	v
πάρειμι/ἀξιόω	unrelated	same_domain	v
πάρειμι/παρέρχομαι	synonym	synonym	v
πάρειμι/πείθω	same_domain	same_domain	v
πάρειμι/ἐνίστημι	distantly_related	same_domain	v
πάρειμι/ἐθέλω	same_domain	unrelated	v
πάρειμι/ἥκω	related	related	v
πάρειμι/παραγίγνομαι	synonym	related	v
πάρειμι/πέμπω	same_domain	same_domain	v
πάρειμι/καθίστημι	unrelated	unrelated	v
πάρειμι/ἔρχομαι	distantly_related	synonym	v
πάρειμι/πράσσω	unrelated	same_domain	v
πάρειμι/προερέω	unrelated	unrelated	v
πάρειμι/πρόκειμαι	distantly_related	distantly_related	v
πάρειμι/προσήκω	related	related	v
πάρειμι/συμφέρω	unrelated	same_domain	v
πάρειμι/ζάω	unrelated	related	v
πάρειμι/ὑπόκειμαι	related	distantly_related	v
πάρειμι/ἔπειμι	synonym	related	v
κρίνω/δοκέω	related	synonym	v
κρίνω/νομίζω	related	synonym	v
κρίνω/πράσσω	unrelated	unrelated	v
κρίνω/ἀξιόω	related	synonym	v
κρίνω/τυγχάνω	unrelated	unrelated	v
κρίνω/ἡγέομαι	related	synonym	v
κρίνω/μέλλω	unrelated	distantly_related	v
κρίνω/οἴομαι	related	synonym	v
κρίνω/ἀποφαίνω	same_domain	same_domain	v
κρίνω/γιγνώσκω	synonym	same_domain	v
κρίνω/καθίστημι	same_domain	unrelated	v
κρίνω/δικάζω	synonym	synonym	v
κρίνω/ἐξετάζω	related	related	v
κρίνω/κολάζω	distantly_related	related	v
κρίνω/βουλεύω	related	related	v
κρίνω/πείθω	same_domain	distantly_related	v
κρίνω/πιστεύω	same_domain	unrelated	v
κρίνω/ζητέω	distantly_related	unrelated	v
κρίνω/ἐπαινέω	related	related	v
κρίνω/μανθάνω	same_domain	distantly_related	v
μανθάνω/διδάσκω	related	related	v
μανθάνω/οἶδα	distantly_related	related	v
μανθάνω/γιγνώσκω	synonym	synonym	v
μανθάνω/ἐπίσταμαι	related	related	v
μανθάνω/πυνθάνομαι	synonym	synonym	v
μανθάνω/οἴομαι	distantly_related	same_domain	v
μανθάνω/βούλομαι	unrelated	unrelated	v
μανθάνω/μέλλω	unrelated	unrelated	v
μανθάνω/ἀκούω	related	related	v
μανθάνω/πείθω	same_domain	unrelated	v
μανθάνω/ἐπιδείκνυμι	unrelated	unrelated	v
μανθάνω/ἀξιόω	distantly_related	distantly_related	v
μανθάνω/ἥκω	unrelated	unrelated	v
μανθάνω/νομίζω	distantly_related	same_domain	v
μανθάνω/ἀγνοέω	related	same_domain	v
μανθάνω/ἐντυγχάνω	distantly_related	related	v
μανθάνω/ὁράω	related	related	v
μανθάνω/θαυμάζω	same_domain	related	v
ἀπαντάω/κελεύω	unrelated	unrelated	v
ἀπαντάω/πυνθάνομαι	unrelated	same_domain	v
ἀπαντάω/καταλαμβάνω	synonym	unrelated	v
ἀπαντάω/μέλλω	unrelated	unrelated	v
ἀπαντάω/ἀφικνέομαι	related	same_domain	v
ἀπαντάω/ἄπειμι	distantly_related	same_domain	v
ἀπαντάω/ἥκω	related	distantly_related	v
ἀπαντάω/ἐντυγχάνω	synonym	synonym	v
ἀπαντάω/παραγίγνομαι	related	synonym	v
ἀπαντάω/παρακαλέω	same_domain	related	v
ἀπαντάω/ὁρμάω	distantly_related	same_domain	v
ἀπαντάω/καθίστημι	unrelated	unrelated	v
ἀπαντάω/παρασκευάζω	unrelated	distantly_related	v
ἀπαντάω/ἐκπέμπω	unrelated	same_domain	v
ἀπαντάω/χωρέω	distantly_related	same_domain	v
ἀπαντάω/ἔρχομαι	distantly_related	distantly_related	v
ἀπαντάω/πέμπω	same_domain	same_domain	v
ἀπαντάω/ἄγω	same_domain	same_domain	v
ἀφίημι/κελεύω	unrelated	unrelated	v
ἀφίημι/ἐάω	synonym	unrelated	v
ἀφίημι/φέρω	unrelated	same_domain	v
ἀφίημι/ἀναγκάζω	unrelated	same_domain	v
ἀφίημι/φεύγω	same_domain	same_domain	v
ἀφίημι/ἥκω	unrelated	unrelated	v
ἀφίημι/κατέχω	related	same_domain	v
ἀφίημι/παύω	unrelated	related	v
ἀφίημι/βάλλω	related	distantly_related	v
ἀφίημι/πείθω	unrelated	same_domain	v
ἀφίημι/πέμπω	synonym	related	v
ἀφίημι/ἄγω	unrelated	same_domain	v
ἀφίημι/ὁρμάω	related	distantly_related	v
ἀφίημι/ἀπολύω	synonym	related	v
ἀφίημι/ἀπάγω	related	related	v
ἀφίημι/παραδίδωμι	related	same_domain	v
ἀφίημι/δέχομαι	unrelated	unrelated	v
ἀφίημι/καθίστημι	unrelated	distantly_related	v
ἀφίημι/καταλείπω	synonym	distantly_related	v
ἀφίημι/παρέχω	related	same_domain	v
ἀφίημι/ἔρχομαι	unrelated	unrelated	v
ἀφίημι/ἀφαιρέω	related	same_domain	v
ἀφίημι/δείδω	unrelated	unrelated	v
κατασκευάζω/χράομαι	unrelated	distantly_related	v
κατασκευάζω/κοσμέω	synonym	distantly_related	v
κατασκευάζω/οἰκοδομέω	synonym	synonym	v
κατασκευάζω/δείκνυμι	unrelated	distantly_related	v
κατασκευάζω/παρασκευάζω	synonym	synonym	v
κατασκευάζω/ἀνατίθημι	related	distantly_related	v
κατασκευάζω/ἱδρύω	related	synonym	v
κατασκευάζω/ποιέω	synonym	synonym	v
κατασκευάζω/ἀποδείκνυμι	unrelated	same_domain	v
κατασκευάζω/κεῖμαι	unrelated	unrelated	v
κατασκευάζω/τίθημι	related	distantly_related	v
κατασκευάζω/εἰσάγω	unrelated	unrelated	v
κατασκευάζω/κομίζω	unrelated	distantly_related	v
κατασκευάζω/καθίστημι	synonym	same_domain	v
κατασκευάζω/συνάγω	unrelated	same_domain	v
κατασκευάζω/λαμβάνω	unrelated	unrelated	v
κατασκευάζω/ἀναιρέω	related	unrelated	v
κατασκευάζω/παραδίδωμι	unrelated	unrelated	v
κατασκευάζω/παρέχω	synonym	unrelated	v
ἀποκρίνω/ἐρωτάω	related	distantly_related	v
ἀποκρίνω/λέγω	related	distantly_related	v
ἀποκρίνω/δοκέω	same_domain	same_domain	v
ἀποκρίνω/οἴομαι	same_domain	distantly_related	v
ἀποκρίνω/φημί	related	distantly_related	v
ἀποκρίνω/ἐλέγχω	related	same_domain	v
ἀποκρίνω/τολμάω	unrelated	unrelated	v
ἀποκρίνω/βούλομαι	unrelated	unrelated	v
ἀποκρίνω/πειράω	unrelated	unrelated	v
ἀποκρίνω/ἀγνοέω	same_domain	same_domain	v
ἀποκρίνω/ἀποφαίνω	related	related	v
ἀποκρίνω/γιγνώσκω	same_domain	same_domain	v
ἀποκρίνω/διαλέγω	related	distantly_related	v
ἀποκρίνω/ἀπαγγέλλω	related	related	v
ἀποκρίνω/συγχωρέω	same_domain	same_domain	v
ἀποκρίνω/φάσκω	related	distantly_related	v
ἀποκρίνω/πείθω	same_domain	unrelated	v
ἀποκρίνω/κελεύω	same_domain	unrelated	v
ἀποκρίνω/ἀξιόω	related	distantly_related	v
ἀποκρίνω/διδάσκω	related	distantly_related	v
ἀποκρίνω/ἀκούω	same_domain	same_domain	v
ἀποκρίνω/θαυμάζω	unrelated	same_domain	v
ἀποκρίνω/οἶδα	same_domain	same_domain	v
τέμνω/διαιρέω	related	related	v
τέμνω/ἐπιζεύγνυμι	distantly_related	distantly_related	v
τέμνω/περιέχω	unrelated	distantly_related	v
τέμνω/φέρω	unrelated	unrelated	v
τέμνω/φύω	unrelated	unrelated	v
τέμνω/βάλλω	unrelated	unrelated	v
τέμνω/ἀποτέμνω	synonym	synonym	v
τέμνω/σχίζω	related	synonym	v
τέμνω/κεῖμαι	unrelated	unrelated	v
τέμνω/τείνω	unrelated	same_domain	v
τέμνω/ἕλκω	unrelated	unrelated	v
τέμνω/ἄγω	unrelated	same_domain	v
τέμνω/ἀφαιρέω	related	unrelated	v
τέμνω/ἐκτείνω	unrelated	same_domain	v
τέμνω/ἐκβάλλω	unrelated	unrelated	v
τέμνω/νοέω	unrelated	distantly_related	v
συντίθημι/σύγκειμαι	synonym	distantly_related	v
συντίθημι/εὑρίσκω	unrelated	unrelated	v
συντίθημι/προστίθημι	synonym	synonym	v
συντίθημι/μίγνυμι	related	related	v
συντίθημι/διαιρέω	related	same_domain	v
συντίθημι/χράομαι	unrelated	same_domain	v
συντίθημι/τουτέστι	unrelated	unrelated	v
συντίθημι/ποιέω	related	related	v
συντίθημι/πολλαπλασιάζω	related	distantly_related	v
συντίθημι/ἀφαιρέω	related	same_domain	v
συντίθημι/γράφω	unrelated	synonym	v
συντίθημι/συνίστημι	synonym	synonym	v
συντίθημι/ἀποτελέω	unrelated	distantly_related	v
συντίθημι/παραλαμβάνω	unrelated	unrelated	v
συντίθημι/φυλάσσω	unrelated	unrelated	v
συντίθημι/παραδίδωμι	unrelated	distantly_related	v
συντίθημι/λαμβάνω	unrelated	distantly_related	v
συντίθημι/τίθημι	related	related	v
οἴχομαι/φεύγω	related	related	v
οἴχομαι/θνήσκω	related	distantly_related	v
οἴχομαι/ἄπειμι	synonym	synonym	v
οἴχομαι/ἔρχομαι	related	related	v
οἴχομαι/εἶμι	related	synonym	v
οἴχομαι/ὄλλυμι	related	distantly_related	v
οἴχομαι/κελεύω	unrelated	unrelated	v
οἴχομαι/δείδω	unrelated	unrelated	v
οἴχομαι/ἀπόλλυμι	related	distantly_related	v
οἴχομαι/κομίζω	unrelated	unrelated	v
οἴχομαι/ὁρμάω	related	distantly_related	v
οἴχομαι/ἀπέρχομαι	synonym	synonym	v
οἴχομαι/ἥκω	related	distantly_related	v
οἴχομαι/διαφθείρω	related	distantly_related	v
οἴχομαι/ἀφικνέομαι	related	related	v
οἴχομαι/ἐάω	unrelated	same_domain	v
οἴχομαι/ἀφίημι	distantly_related	distantly_related	v
οἴχομαι/χωρέω	related	synonym	v
οἴχομαι/ἀναχωρέω	related	synonym	v
οἴχομαι/λανθάνω	related	distantly_related	v
γαμέω/συνοικέω	related	related	v
γαμέω/τελευτάω	unrelated	same_domain	v
γαμέω/θνήσκω	unrelated	same_domain	v
γαμέω/σύνειμι	related	related	v
γαμέω/πείθω	unrelated	unrelated	v
γαμέω/ἐθέλω	unrelated	unrelated	v
γαμέω/ἐράω	related	distantly_related	v
γαμέω/ἀποθνήσκω	unrelated	same_domain	v
γαμέω/μέλλω	unrelated	unrelated	v
γαμέω/παιδοποιέω	same_domain	distantly_related	v
γαμέω/τίκτω	same_domain	distantly_related	v
γαμέω/ἐκδίδωμι	synonym	unrelated	v
γαμέω/ἁρπάζω	unrelated	unrelated	v
γαμέω/ἄγω	synonym	same_domain	v
γαμέω/συνοικίζω	synonym	related	v
γαμέω/τιμάω	distantly_related	same_domain	v
γαμέω/βασιλεύω	unrelated	unrelated	v
γαμέω/μνηστεύω	related	related	v
γαμέω/πράσσω	unrelated	unrelated	v
γαμέω/ἀποκτείνω	unrelated	unrelated	v
γαμέω/φεύγω	unrelated	unrelated	v
γαμέω/γεννάω	same_domain	distantly_related	v
βιάζω/ἀναγκάζω	synonym	synonym	v
βιάζω/κρατέω	synonym	distantly_related	v
βιάζω/φεύγω	same_domain	distantly_related	v
βιάζω/τολμάω	same_domain	same_domain	v
βιάζω/πείθω	same_domain	same_domain	v
βιάζω/ἐπιχειρέω	distantly_related	same_domain	v
βιάζω/κωλύω	synonym	distantly_related	v
βιάζω/κελεύω	distantly_related	same_domain	v
βιάζω/πειράω	distantly_related	same_domain	v
βιάζω/βούλομαι	unrelated	unrelated	v
βιάζω/διαφθείρω	same_domain	distantly_related	v
βιάζω/ὁρμάω	distantly_related	distantly_related	v
βιάζω/ἐάω	related	unrelated	v
βιάζω/δείδω	same_domain	same_domain	v
βιάζω/κατέχω	synonym	distantly_related	v
βιάζω/ὠθέω	related	distantly_related	v
βιάζω/ἐπιτρέπω	unrelated	same_domain	v
βιάζω/ἀμύνω	related	distantly_related	v
βιάζω/διώκω	same_domain	distantly_related	v
βιάζω/νικάω	same_domain	related	v
φιλέω/μισέω	related	distantly_related	v
φιλέω/ἀγαπάω	synonym	related	v
φιλέω/τιμάω	distantly_related	related	v
φιλέω/ἐράω	synonym	synonym	v
φιλέω/ἐθέλω	same_domain	same_domain	v
φιλέω/πείθω	unrelated	unrelated	v
φιλέω/ἐπαινέω	same_domain	distantly_related	v
φιλέω/τέρπω	related	related	v
φιλέω/ἥδομαι	distantly_related	related	v
φιλέω/ἀείδω	same_domain	same_domain	v
φιλέω/ἀσπάζομαι	synonym	related	v
φιλέω/θαυμάζω	distantly_related	related	v
φιλέω/στέργω	synonym	synonym	v
φιλέω/ποθέω	related	distantly_related	v
φιλέω/οἶδα	unrelated	same_domain	v
φιλέω/νομίζω	unrelated	unrelated	v
φιλέω/λυπέω	same_domain	distantly_related	v
φιλέω/γιγνώσκω	unrelated	related	v
χαρίζω/πείθω	unrelated	same_domain	v
χαρίζω/αἰτέω	distantly_related	same_domain	v
χαρίζω/παρακαλέω	same_domain	distantly_related	v
χαρίζω/βούλομαι	unrelated	same_domain	v
χαρίζω/ἐπαινέω	related	distantly_related	v
χαρίζω/κτάομαι	same_domain	same_domain	v
χαρίζω/ἀδικέω	distantly_related	same_domain	v
χαρίζω/πρέπω	unrelated	unrelated	v
χαρίζω/προσήκω	unrelated	unrelated	v
χαρίζω/νομίζω	unrelated	same_domain	v
χαρίζω/παρέχω	related	related	v
χαρίζω/τιμάω	related	related	v
χαρίζω/ἀξιόω	same_domain	related	v
χαρίζω/ἀπολαύω	distantly_related	synonym	v
χαρίζω/τυγχάνω	distantly_related	unrelated	v
χαρίζω/δωρέω	synonym	synonym	v
χαρίζω/πράσσω	distantly_related	same_domain	v
χαρίζω/φροντίζω	distantly_related	same_domain	v
χαρίζω/δίδωμι	related	synonym	v
χαρίζω/ποιέω	distantly_related	same_domain	v
χαρίζω/χράομαι	same_domain	same_domain	v
χαρίζω/βοηθέω	related	distantly_related	v
χαρίζω/πιστεύω	unrelated	distantly_related	v
ἀποστερέω/ἀδικέω	same_domain	distantly_related	v
ἀποστερέω/νομίζω	unrelated	unrelated	v
ἀποστερέω/προδίδωμι	distantly_related	unrelated	v
ἀποστερέω/ὑβρίζω	same_domain	related	v
ἀποστερέω/τιμάω	unrelated	distantly_related	v
ἀποστερέω/ἀπολαύω	unrelated	same_domain	v
ἀποστερέω/κτάομαι	related	related	v
ἀποστερέω/στερέω	synonym	synonym	v
ἀποστερέω/πράσσω	unrelated	unrelated	v
ἀποστερέω/συκοφαντέω	same_domain	distantly_related	v
ἀποστερέω/ἀφαιρέω	synonym	synonym	v
ἀποστερέω/τολμάω	unrelated	same_domain	v
ἀποστερέω/ἀπόλλυμι	related	distantly_related	v
ἀποστερέω/παρέχω	related	same_domain	v
ἀποστερέω/διαφθείρω	same_domain	distantly_related	v
ἀποστερέω/ἀποκτείνω	same_domain	distantly_related	v
ἀποστερέω/τυγχάνω	related	unrelated	v
ἀποστερέω/μετέχω	distantly_related	unrelated	v
ἀποστερέω/καταφρονέω	unrelated	same_domain	v
ἀποστερέω/ζημιόω	same_domain	distantly_related	v
δανείζω/ἀποδίδωμι	related	distantly_related	v
δανείζω/ὁμολογέω	unrelated	same_domain	v
δανείζω/ὀφείλω	related	distantly_related	v
δανείζω/προγράφω	same_domain	unrelated	v
δανείζω/πρόκειμαι	unrelated	unrelated	v
δανείζω/μισθόω	related	distantly_related	v
δανείζω/κεφαλαιόω	unrelated	unrelated	v
δανείζω/χρεωστέω	related	related	v
δανείζω/ἐκτίνω	related	distantly_related	v
δανείζω/βεβαιόω	same_domain	unrelated	v
δανείζω/ἀποτίνω	related	distantly_related	v
δανείζω/πιπράσκω	distantly_related	same_domain	v
δανείζω/ἐνεγγυάω	related	same_domain	v
δανείζω/πρίαμαι	distantly_related	same_domain	v
δανείζω/ἀπέχω	distantly_related	same_domain	v
δανείζω/δίδωμι	related	distantly_related	v
δανείζω/ἐπιδίδωμι	related	distantly_related	v
φορέω/βάλλω	distantly_related	unrelated	v
φορέω/φέρω	synonym	synonym	v
φορέω/πέλω	unrelated	unrelated	v
φορέω/ῥίπτω	distantly_related	same_domain	v
φορέω/ἀείρω	distantly_related	unrelated	v
φορέω/βαίνω	unrelated	same_domain	v
φορέω/τεύχω	unrelated	unrelated	v
φορέω/ἑλίσσω	distantly_related	unrelated	v
φορέω/ἵστημι	unrelated	unrelated	v
φορέω/καλύπτω	related	unrelated	v
φορέω/περιτίθημι	related	unrelated	v
φορέω/περιβάλλω	related	distantly_related	v
φορέω/ὄλλυμι	unrelated	unrelated	v
φορέω/ἕλκω	related	distantly_related	v
φορέω/ἐνδύω	related	distantly_related	v
φορέω/ἐρύω	distantly_related	distantly_related	v
φορέω/ἐρείδω	unrelated	unrelated	v
φορέω/ἐλαύνω	same_domain	unrelated	v
ἀείρω/βάλλω	distantly_related	unrelated	v
ἀείρω/μάρναμαι	unrelated	same_domain	v
ἀείρω/κορύσσω	unrelated	same_domain	v
ἀείρω/βαίνω	unrelated	same_domain	v
ἀείρω/πέλω	unrelated	unrelated	v
ἀείρω/ἐρύω	related	same_domain	v
ἀείρω/τεύχω	unrelated	same_domain	v
ἀείρω/ἑλίσσω	distantly_related	same_domain	v
ἀείρω/ὄλλυμι	distantly_related	synonym	v
ἀείρω/τιταίνω	distantly_related	same_domain	v
ἀείρω/τινάσσω	distantly_related	distantly_related	v
ἀείρω/κουφίζω	synonym	unrelated	v
ἀείρω/ἐρείδω	related	related	v
ἀείρω/φέρω	related	synonym	v
ἀείρω/ἱκνέομαι	unrelated	unrelated	v
ἀείρω/ἵστημι	related	synonym	v
ἀείρω/φορέω	distantly_related	related	v
ἀείρω/ἐλαύνω	unrelated	same_domain	v
ἀείρω/ἕλκω	related	same_domain	v
ἀείρω/ἐλαφρίζω	synonym	distantly_related	v
ἀείρω/ῥίπτω	distantly_related	unrelated	v
ἀποτίθημι/ἀναλαμβάνω	related	related	v
ἀποτίθημι/ἐπιτίθημι	related	distantly_related	v
ἀποτίθημι/ἐνδύω	unrelated	unrelated	v
ἀποτίθημι/περιτίθημι	related	distantly_related	v
ἀποτίθημι/κομίζω	distantly_related	same_domain	v
ἀποτίθημι/κελεύω	unrelated	unrelated	v
ἀποτίθημι/ἀφαιρέω	related	related	v
ἀποτίθημι/αἴρω	related	related	v
ἀποτίθημι/περιβάλλω	unrelated	unrelated	v
ἀποτίθημι/φέρω	distantly_related	same_domain	v
ἀποτίθημι/κατατίθημι	synonym	related	v
ἀποτίθημι/κατέχω	distantly_related	unrelated	v
ἀποτίθημι/ἐμβάλλω	distantly_related	same_domain	v
ἀποτίθημι/περιαιρέω	synonym	distantly_related	v
ἀποτίθημι/τίθημι	related	distantly_related	v
ἀποτίθημι/ἀφίημι	synonym	distantly_related	v
ἀποτίθημι/χράομαι	unrelated	unrelated	v
ἀποτίθημι/καθίστημι	distantly_related	synonym	v
ἀποτίθημι/ἄγω	distantly_related	unrelated	v
μετέρχομαι/μέτειμι	synonym	synonym	v
μετέρχομαι/κτείνω	distantly_related	same_domain	v
μετέρχομαι/σπεύδω	synonym	distantly_related	v
μετέρχομαι/ἐθέλω	unrelated	unrelated	v
μετέρχομαι/ἀμύνω	same_domain	same_domain	v
μετέρχομαι/νομίζω	unrelated	unrelated	v
μετέρχομαι/δείδω	unrelated	unrelated	v
μετέρχομαι/πείθω	unrelated	unrelated	v
μετέρχομαι/θνήσκω	unrelated	unrelated	v
μετέρχομαι/ἡγέομαι	distantly_related	distantly_related	v
μετέρχομαι/μεταβαίνω	synonym	distantly_related	v
μετέρχομαι/τρέπω	distantly_related	related	v
μετέρχομαι/τιμωρέω	synonym	synonym	v
μετέρχομαι/παραδίδωμι	unrelated	unrelated	v
μετέρχομαι/ἐπαινέω	unrelated	same_domain	v
